,標題,版主,日期,時間,觀看數,留言
5338,【問題】馬那歷亞清場法，分享與討論可能性QAQ,stupidleo,10/10,01:11,1961,19
5339,【問題】近期的中立牌組,Sd5216,10/10,00:27,974,12
5340,首篇已刪,r28588449,10/09,22:59,164,7
5341,【心得】[無限制] 魔將鐵蹄依舊踏破一切，3次10連勝以上T1中速死分享,a68231044z,10/09,22:47,2302,35
5342,【心得】當「死者的復歸」遇到墮天......,ssps49991016,10/09,22:43,864,2
5343,【問題】闇影詩章威化餅第二代,nvksbn,10/09,22:41,457,6
5344,本討論串已無文章,ck40292,10/09,20:33,242,8
5345,【情報】【闇影戰情室】EP31 闇影詩章最新戰情分析,ga786327,10/09,20:19,651,0
5346,【討論】新帳抽卡,a38961197,10/09,18:07,112,0
5347,首篇已刪,r28588449,10/09,14:06,3,1
5348,【其他】第10彈新卡包《滅禍十傑》 抽卡分享串,yq8422,10/09,12:35,5999,114
5349,首篇已刪,r28588449,10/09,12:11,14,2
5350,【心得】【OOT指定】重出江湖的包膜亞瑟心得 (10/11更新進決賽牌組),vin870329,10/09,01:29,1417,11
5351,本討論串已無文章,retardate,10/08,22:03,5,2
5352,【心得】愛用舊牌，讓控妖再次偉大!,A29653901,10/08,19:59,2749,11
5353,首篇已刪,r28588449,10/08,12:12,26,9
5354,【情報】『RAGE Shadowverse 十禍絶傑』西日本予選直播Day2,ccuu1277,10/08,11:02,825,2
5355,【攻略】【指定系列】晉級a組力抗自殘吸 真實大奇巫師,a114477147,10/08,10:23,1162,16
5356,【閒聊】[FunDeck][指定][覆滅法] 你問為什麼沒長胸？因為卡莉有長腦啊！,zqzq5324422,10/08,08:57,3205,6
5357,【閒聊】目前開台中~ 新手首次開台,q0933957799,10/08,01:23,388,0
5358,【心得】髒話很多慎入,a114477147,10/07,22:36,1258,12
5359,首篇已刪,sysop,10/07,21:59,17,2
5360,【討論】沒甚麼新牌的控妖,QLOKOHO,10/07,21:50,1126,16
5361,【討論】宇宙妖開發請益 (10/7 補充大賽,zhong10034,10/07,20:01,1947,12
5362,【問題】【閒聊】好無聊開一下,a29161251,10/07,19:23,330,0
5363,【閒聊】我一直被按在地上摩擦誒,z33841736,10/07,19:06,22,0
5364,【心得】《娛樂》死靈也能駕馭騎士王，沒有阿卡斯的單回合21點OTK,fzw1222,10/07,18:50,1135,4
5365,首篇已刪,r28588449,10/07,16:02,23,1
5366,【問題】回鍋玩家請各位大大幫忙看看牌組,saberlove,10/07,14:56,37,0
5367,【攻略】《蛋蛋》傳說皇！再起！克制天梯Meta 牌組分享,cose66055,10/07,11:42,3429,43
5368,首篇已刪,r28588449,10/07,08:21,291,14
5369,【心得】【指定系列】OOT版本亞瑟中速皇心得 天梯25戰20勝牌組分享,cupramen97,10/07,08:01,2891,25
5370,首篇已刪,sysop,10/07,06:39,1696,52
5371,首篇已刪,r28588449,10/06,23:53,7,2
5372,首篇已刪,sysop,10/06,23:29,39,5
5373,【心得】血鬼到底何時砍啊⋯⋯,a2840062,10/06,19:24,3468,158
5374,首篇已刪,alpha991225,10/06,19:22,675,18
5375,【討論】不小心把主戰者的牌賣了,alpha991225,10/06,15:19,440,14
5376,本討論串已無文章,kj0918333463,10/06,15:15,5,1
5377,【心得】唯我絕傑真的還蠻實用的,ff96710,10/06,13:24,2484,13
5378,【討論】巫師20姊有人開發出來嗎?歡迎討論~,FearlessTS,10/06,04:02,3853,35
5379,【問題】主戰者造型,aa520530ss,10/06,02:25,1058,6
5380,【心得】下水道的奇蹟七連勝，自組妖精牌組分享。變速翠嵐妖（指定系列）,harvey255287,10/06,00:58,2717,22
5381,首篇已刪,sysop,10/06,00:53,23,2
5382,本討論串已無文章,qwe30614,10/05,23:56,1,5
5383,【問題】問卦，復仇者無限制,Steven0921,10/05,21:53,1043,8
5384,首篇已刪,r28588449,10/05,20:01,20,1
5385,【問題】唯我吸大賽,x2x3x5x9,10/05,17:08,1023,12
5386,【問題】SV威化餅,clannad1007,10/05,15:28,18k,30
5387,【問題】無我龍分享大賽結果,ab3882,10/05,14:56,640,7
5388,【心得】無限制歡樂牌組 黃金唯我主教,flamington,10/05,14:11,1482,8
5389,【心得】(10/5 更新) 指定10連勝 餓將軍阿卡斯死靈,teddyuan,10/05,14:07,3771,9
5390,【問題】對不起又打擾大家了…又登不進去了…,thoth210350,10/05,13:34,437,4
5391,【問題】未到Master的Master？,f19990101,10/05,04:20,713,4
5392,【情報】卡組Meta報告 (09/24/18 ~ 09/30/18) 指定,prankmail,10/04,21:22,1216,14
5393,【心得】全程篡奪亞瑟gm打牌技巧分享(再微更選配),m0308,10/04,20:01,3043,82
5394,首篇已刪,r28588449,10/04,19:53,5084,22
5395,【討論】有人能幫我看看有哪些是能分解紅水的嗎？？,yiyang123,10/04,19:47,967,6
5396,【其他】板務建議★精華建議☆文章恢復,cupramen97,10/04,19:15,3000,14
5397,【討論】來預測OOT最佳投資對象好了,saasa8112,10/04,17:52,907,35
5398,【心得】娛樂？安全？持續調整的破壞軸牌組,a930359,10/04,16:57,1994,23
5399,首篇已刪,r28588449,10/04,15:31,14,2
5400,【問題】關於手機跟steam帳號問題,a140096012,10/04,12:45,662,0
5401,【問題】求圖坦卡門閃卡,s4926571,10/04,12:18,797,4
5402,【討論】騙水版增幅預言巫師,prankmail,10/04,10:11,2792,18
5403,【閒聊】SV的廣告怎麼能搞得那麼像免洗手遊,Matthew0308,10/04,09:58,40,5
5404,【討論】【退環境前瞻】即將退出輪換舞台的主教WLD卡牌,Kuuj,10/04,00:04,2568,29
5405,首篇已刪,r28588449,10/03,21:56,103,11
5406,首篇已刪,r28588449,10/03,20:58,633,20
5407,【閒聊】有沒有可能SV以後出像LOL一樣的隨機組隊打天梯ban職業的積分模式？,jack333659,10/03,19:16,651,19
5408,【問題】剛回鍋的萌新？）求現版本無限制便宜牌組,never193,10/03,18:49,1777,22
5409,本討論串已無文章,A82861325,10/03,17:59,129,3
5410,【閒聊】超過20回合的對決⋯⋯,Cory323,10/03,17:38,722,14
5411,【問題】炎將何去何從？,blockrock015,10/03,16:57,946,23
5412,【討論】論熾天使(法術)對自殘吸的克制效果,k262319075,10/03,16:36,493,13
5413,【心得】天梯有別的職業嗎。龍龍龍龍法法法法 鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼鬼。這遊戲？,Krotic,10/03,14:43,52,0
5414,【心得】指定九連勝阿卡斯 歡迎大家來用露娜對抗毒瘤斑比,jry187189,10/03,03:17,1897,10
5415,首篇已刪,alpha991225,10/03,02:36,84,2
5416,本討論串已無文章,thoth210350,10/03,00:29,200,0
5417,本討論串已無文章,How30966013,10/03,00:12,890,12
5418,【討論】關於指定模式妖精,a44s66,10/02,22:28,514,19
5419,【閒聊】【闇影戰情室】EP30 闇影詩章最新戰情分析,ga786327,10/02,20:13,681,0
5420,【討論】關於開闢超越法的可行性,starC8763,10/02,20:11,618,11
5421,首篇已刪,alpha991225,10/02,19:49,690,7
5422,【討論】剛剛打天梯難得讓開闢出來了,uriel8797,10/02,19:31,51,0
5423,【情報】「ZOMBIE LAND SAGA」播出紀念活動公告,hayashitn,10/02,17:45,2746,0
5424,【情報】變更卡片類型的能力無法正常發動之異常公告,hayashitn,10/02,17:41,1420,6
5425,【情報】【SV微相關】《馬納歷亞Friends》重啟確定！2019年1月開始放送,hayashitn,10/02,17:18,2292,30
5426,首篇已刪,alpha991225,10/02,16:59,263,17
5427,首篇已刪,sysop,10/02,16:13,136,3
5428,【閒聊】來猜猜11月下旬會有誰出頭？,a0203022,10/02,15:19,1105,18
5429,【問題】在youtube放闇影詩章的影片被版權警告，但版權聲明者是韓國公司？？？,fzw1222,10/02,14:10,1024,21
5430,【討論】關於精靈便宜的牌組,tryplay02918,10/02,12:21,2680,6
5431,【情報】提供克制吸血鬼的方法 (指定),r28588449,10/02,11:41,3692,35
5432,【心得】9/29 ES大會 台中 明志玩具,kusoculy,10/02,11:11,4317,14
5433,首篇已刪,r28588449,10/02,10:48,25,2
5434,【討論】就是要靠賽#2 D2結果,sf329sf329,10/02,01:47,382,0
5435,【心得】改版初分享龍族牌組,kenvin005,10/02,01:13,4209,17
5436,【心得】現在看到吸血鬼跟龍族就覺得噁心= =,oc19880228,10/01,23:52,64,0
5437,【心得】自殘吸該削弱了，天胡沒人打得贏,a128910345,10/01,21:40,9419,97
5438,首篇已刪,alpha991225,10/01,20:33,258,10
5439,【閒聊】抽一包裡面都珍藏版的==,asbe20031,10/01,20:25,909,11
5440,【閒聊】分享（指定）死靈夢想(死界邊境的佇立者)及法師夢想(開闢法),nwyx49vy,10/01,20:05,422,13
5441,首篇已刪,r28588449,10/01,20:03,18,2
5442,【討論】為什麼排名首位的人4天可以打到29000分？,james199945,10/01,19:14,1266,19
5443,【討論】偏娛樂卡組分享—大美宣告法(指定系列),arah,10/01,18:01,1085,6
5444,【問題】想回鍋玩SV,digimon10011,10/01,17:07,2401,28
5445,【心得】對吸血鬼最近的感想,fate19900202,10/01,16:58,1478,33
5446,【情報】【10月1日 13:30~14:00】伺服器維護公告,p70984232,10/01,15:57,2350,10
5447,【討論】自殘吸的強度vs中速死跟生物法,tony123bm,10/01,14:44,2529,70
5448,【心得】一些新版皇家的操作觀念,jack333659,10/01,10:28,2439,36
5449,【心得】9月首場ES in瑪爾斯 水龍女卡背!!,ff96710,10/01,10:01,6360,27
5450,【心得】指定13連勝自殘吸(10/1更新現況),cool850210,10/01,02:57,8571,67
5451,本討論串已無文章,fkfy1475,10/01,02:30,39,5
5452,【心得】無限制AA0 耶拉教10連勝,wmalium0713,10/01,02:03,1096,8
5453,【心得】分享 無限制區  AA2  疾走教,ccx08080,09/30,23:43,732,1
5454,【討論】絕望宣告流,mbomb,09/30,23:40,1036,1
5455,【心得】天上天下 唯我絕傑 宇宙龍爬梯心得,james199945,09/30,23:30,3967,19
5456,【密技】死界邊境佇立者新就業計劃 - 燦爛的20點OTK煙火表演,prankmail,09/30,23:23,1336,3
5457,【心得】分享牌組  七連勝  消滅對方吧  無限制,h095413k,09/30,22:29,906,2
5458,首篇已刪,sysop,09/30,21:57,430,22
5459,【密技】【指定娛樂】讓大家遺忘的葬送死重返榮光吧，中速葬送死,chester0317,09/30,21:18,454,4
5460,【討論】皇家串改版後卡組討論區,s10255079,09/30,21:03,3788,55
5461,首篇已刪,sysop,09/30,20:43,153,6
5462,本討論串已無文章,dkl90215,09/30,20:38,5,0
5463,首篇已刪,sysop,09/30,19:57,385,10
5464,【討論】(OFF)【ReqNy阿賢】新手上路 請多指教！,oncem423,09/30,19:05,254,1
5465,【問題】大家會一直連線逾時嗎？,alpha991225,09/30,18:28,548,5
5466,首篇已刪,r28588449,09/30,17:38,31,1
5467,【問題】遊戲一直斷掉,H123916983,09/30,17:26,205,1
5468,【討論】[無限制] 6戰5勝對自殘鬼全勝的中立開闢法，熾天使之劍OP,zxc852h56t,09/30,16:18,1160,12
5469,【問題】問個白狼白銀怎麼組,leemelvin,09/30,15:42,400,8
5470,【問題】關於自組的創造物復仇,s88092881,09/30,13:47,374,12
5471,本討論串已無文章,s88092881,09/30,13:42,7,0
5472,【閒聊】 9/27 OMEN OF THE TEN 【目前正在開台中】,yinyueing,09/30,13:17,949,8
5473,首篇已刪,r28588449,09/30,12:40,27,2
5474,【心得】台灣第一個 3天死靈GM 死靈重返榮耀,sf329sf329,09/30,11:05,1167,8
5475,本討論串已無文章,aaa22336655,09/30,10:43,10,0
5476,【討論】關於0費過牌,kkllk741000,09/30,09:29,1054,17
5477,【討論】[娛樂向] 唯我麻婆絕傑  組合討論,FearlessTS,09/30,04:49,652,8
5478,【情報】就是要靠賽#2 D1結果 D2預告,sf329sf329,09/30,04:34,314,0
5479,【心得】 *5樓新增影片* 指定 肥宅熾天使教 10場對戰心得統計（10戰7勝）,john83693396,09/30,02:18,2712,8
5480,【閒聊】滅禍十傑　十絕傑記,jack333659,09/30,01:16,957,7
5481,【心得】【娛樂牌】社長棄牌龍(吧?,aas955427,09/29,22:57,1105,2
5482,【心得】蘿莉復仇者(*ﾟ∀ﾟ) 把敵人炸成傻逼,auchergod,09/29,22:10,649,8
5483,【心得】《娛樂》武士宗師再進化，超越阿爾貝爾的9費最大23傷otk,fzw1222,09/29,20:59,915,9
5484,【閒聊】【人類從歷史中是學不到教訓的】奶炮和自殘鬼的歷史循環說,uriel8797,09/29,20:38,970,41
5485,【情報】SCL 第一屆騙水盃 邀請賽,aaa0622,09/29,19:29,874,2
5486,首篇已刪,r28588449,09/29,19:02,35,1
5487,【討論】關於黑愛在無限制的牌組,vincenttytu,09/29,18:56,367,3
5488,【問題】好像沒有這麼毒啊……,z9911919,09/29,17:29,47,0
5489,【心得】無限制 都市熾天使 消滅教 用曙光讓死靈消失吧！,s3581003,09/29,16:57,2832,16
5490,【討論】身為一個魚丸廚，來幫破壞絕傑找工作吧,stanly61315,09/29,16:23,1871,24
5491,【問題】請問我要如何補足我所缺的？,a3899962a,09/29,11:15,631,6
5492,【討論】死靈下版必定T1,stephanie072,09/29,06:55,5892,110
5493,【問題】關於侮蔑絕傑新卡...,cfps90065,09/29,01:01,1653,10
5494,【心得】財寶亞瑟皇(*ﾟ∀ﾟ)娛樂不上分,AlpheTIU,09/29,00:33,806,11
5495,【討論】指定疾走教的可能性?,orzcxxxxx,09/28,22:16,634,11
5496,砂井裏鍵 MP2890～ 過氣奶砲、堀江、中皇、人偶仇隨便打,Romulus,09/28,21:42,840,1
5497,本討論串已無文章,jj82820211,09/28,19:51,250,6
5498,本討論串已無文章,freshchun,09/28,19:16,203,11
5499,首篇已刪,hayashitn,09/28,19:14,188,4
5500,本討論串已無文章,Plk13258,09/28,19:09,1,0
5501,首篇已刪,alpha991225,09/28,14:20,239,13
5502,本討論串已無文章,bookltug123,09/28,12:23,24,6
5503,本討論串已無文章,john83693396,09/28,11:49,14,0
5504,【閒聊】喚厄者，復仇的俄羅斯輪盤！,gamemike,09/28,08:03,1338,17
5505,【問題】無法更新,sony2012kin,09/28,00:31,367,1
5506,首篇已刪,sysop,09/28,00:12,2085,29
5507,【情報】滅禍十傑 全虹卡特效+語音,mi81918,09/27,23:16,1153,11
5508,【心得】【娛樂】「無限制」巨像的逆襲！！ 宣告超越巫(更新階級對戰),ocean0720,09/27,22:53,1052,0
5509,本討論串已無文章,as37835001,09/27,21:46,41,0
5510,【問題】期間限定mission關卡在哪？,iamhisashine,09/27,20:19,798,3
5511,首篇已刪,r28588449,09/27,20:01,277,8
5512,【問題】忘記ID 尋回方法,EdwinT417,09/27,19:22,2795,5
5513,【問題】主線劇情,toby25458810,09/27,18:56,1227,7
5514,【討論】飢餓光輝這張卡(其他新卡實際使用心得),s104003664,09/27,18:40,1367,16
5515,首篇已刪,r28588449,09/27,18:34,389,16
5516,【討論】無限制新牌討論-開闢法,jimmyball76,09/27,17:35,1935,18
5517,【閒聊】對上龍族的時候，千萬不要進化可魯……,kenvin005,09/27,17:29,1231,14
5518,本討論串已無文章,reverinr,09/27,17:19,60,3
5519,本討論串已無文章,reverinr,09/27,17:16,1,1
5520,【討論】玩了一個上午 意外強大的幾張牌 (吸血鬼 指定),eric2790,09/27,14:24,1170,10
5521,【閒聊】我終於成功在維護前3費時順念召喚了(感動),A12352323,09/27,14:22,957,14
5522,【情報】第10彈新卡包《滅禍十傑》情報公開(97/97),astraea1548,09/27,14:14,93k,269
5523,【問題】公會動亂篇,cky3162046,09/27,11:11,1499,4
5524,【討論】【廚力放出】接受現實的主教廚來稍微分析一下四張新卡可能的實戰表現,s104003664,09/27,10:18,4060,64
5525,【密技】夢想「滅禍十盾」，十隻全進化天盾同台演出！,Dontpokeme,09/27,09:50,3266,16
5526,【問題】扯到爆的超級三,dkl90215,09/27,09:42,89,2
5527,本討論串已無文章,mx515515,09/27,09:38,99,3
5528,【問題】請問這樣有什麼辦法解決呢？？,art123,09/27,09:26,395,5
5529,【問題】你們有抽過黑白包？,ccuu1277,09/27,08:40,1202,8
5530,本討論串已無文章,Ero0121,09/27,07:35,2207,13
5531,【心得】自創卡包第一彈(更新中)漫漫長路(Long Long Journey),aaa520660,09/27,02:31,2915,32
5532,【討論】指定死靈走向,cabal123,09/27,00:00,1248,12
5533,【討論】大家來分享一下預計試玩的新牌組吧~,godmoon88420,09/26,23:46,433,11
5534,【閒聊】明天更新~ 準備好抽包了嗎 ?,r28588449,09/26,23:03,980,18
5535,首篇已刪,r28588449,09/26,18:42,770,21
5536,【情報】滅禍十傑登場紀念活動公告,s952303,09/26,16:12,2235,15
5537,【問題】異種妖該怎麼玩,starlightX,09/26,12:13,1203,23
5538,【心得】「無限制」超歡樂娛樂牌組－－我叮咚今天就是要把你們都打死！,goodewen,09/26,12:03,2456,13
5539,【討論】新牌組討論：元初受傷龍,r97a21108,09/25,20:25,1911,33
5540,【情報】【闇影戰情室】EP29 闇影詩章最新戰情分析,ga786327,09/25,19:29,765,3
5541,【情報】9月27日伺服器維護時卡片調整公告,corlasu,09/25,15:44,4228,79
5542,【閒聊】渣改官方pv，其實這才是滅禍十傑真實的樣貌吧？,tim880022,09/25,14:54,2138,17
5543,【閒聊】大家覺得那一條龍比較強?,dimoon,09/25,00:48,2317,55
5544,【心得】【指定M區】> | 速攻血脈吸 |  10/9更新 OOT版本 GM,kin850709,09/24,21:29,1339,5
5545,【情報】各職業人氣（使用率）卡片最高前三名跟一些數據,samya00,09/24,19:22,2052,24
5546,【情報】SCL脫褲子大會─滅禍十傑,tryplay02918,09/24,17:15,2913,17
5547,【其他】抒發一下我這次大賽決賽超速2連敗的心情...,cso8452756,09/24,16:11,24,0
5548,【情報】舉辦大賽「BOS 無限制盃 Vol.2」公告,amiize,09/24,14:39,6123,63
5549,【心得】[無限制] 趕上末班車 談談自己的GM之路,aas955427,09/24,05:46,874,9
5550,【閒聊】【指定】愛將軍退休前最後一戰  20點OTK,Fire999,09/23,23:50,987,2
5551,【閒聊】有沒有人跟我一樣會去收藏卡面,guiltyking,09/23,21:10,800,7
5552,【問題】回鍋求指教,Andrewyu1010,09/23,21:06,66,0
5553,首篇已刪,r28588449,09/23,15:48,104,3
5554,【問題】很久沒玩的新手回鍋ouo求大大們指教一下,Andrewyu1010,09/23,15:20,43,0
5555,【問題】求大神幫忙組牌,j89218778,09/23,13:56,592,6
5556,【情報】就是要靠賽#2 報名中,sf329sf329,09/23,11:18,393,1
5557,本討論串已無文章,eric2790,09/22,23:51,90,2
5558,【其他】◆◇◆進版圖募集中◆◇◆,r28588449,09/22,16:19,358,6
5559,【問題】最近回鍋，想爬天梯想請各位有什麼強勢的牌組推薦,hanklee0526,09/22,15:32,597,15
5560,【心得】指定 - 莫迪凱 + 格莫瑞 = 凱瑞,prankmail,09/22,13:20,1397,12
5561,【其他】版務宣導 曬卡以及回鍋文 新式進版圖提醒,myself2796,09/22,12:13,867,1
5562,【問題】有關新卡包後的一個小疑問,ccuu1277,09/21,22:24,1304,14
5563,【心得】關於離場時的能力,astewzxc,09/21,19:39,1940,37
5564,首篇已刪,sysop,09/21,18:15,113,12
5565,【情報】【9月26日 23:00 ～ 9月27日 06:30（GMT+8）】配合版本更新實施伺服器維護公告,s3581003,09/21,17:39,1852,11
5566,【其他】為何非要等玩家回歸才能判定輸贏？,p90319,09/21,15:48,3055,35
5567,【問題】請問卡登入畫面,memory0530,09/21,12:25,833,2
5568,本討論串已無文章,joe711080,09/21,11:10,6,0
5569,【問題】死靈開局1費哪張牌最好呢?,j89218778,09/21,02:20,1057,15
5570,【問題】大賽主教玩什麼比較好,hugo0221,09/20,22:36,1727,22
5571,【閒聊】連續遇到同個人,s3581003,09/20,20:13,2427,21
5572,【心得】龍族老玩家GM小心得,kjlove0215,09/20,20:08,2451,22
5573,【情報】蛋蛋台 今晚八點 全球搶先新卡公開 feat.小嵐,cvb3027,09/20,17:36,833,1
5574,【問題】【密技】re:re: 老司機收男學生&非誠勿擾,r28588449,09/20,15:32,326,17
5575,【心得】就是要靠賽#1 D2結果,sf329sf329,09/19,23:25,524,1
5576,【情報】《2018 Shaodwverse Taiwan Open》秋季總決賽宣傳影片,kkllk741000,09/19,20:51,558,2
5577,【其他】【公告】部分版規修改 更改事項說明。,r28588449,09/18,23:17,536,4
5578,【情報】港澳地區遷移意見收集問卷,mikadocaptor,09/18,21:41,1251,20
5579,【情報】「破壞戰場上的卡片後發動能力」之機制變更公告,joe711080,09/18,21:20,1250,19
5580,【情報】活動情報:2018/9/15前投票拿卡包,ificanfly123,09/18,19:46,3122,9
5581,【問題】想請問關於龍族 波賽頓 這張卡。。。,hw092502,09/18,16:58,1353,70
5582,【問題】指定天梯法師也太多了吧,atr45276,09/18,01:17,2323,60
5583,【閒聊】在日本發現了桃樂絲的拼圖!,alpha991225,09/17,23:31,1959,10
5584,【討論】關於最近指定常常出現的巫師探討,Laurelyoland,09/17,23:16,962,23
5585,【招募】兩位副版主及精華組員 有志者歡迎來申請 已停止招募。,r28588449,09/17,22:03,283,11
5586,【公告】新任板主 r28588449 -> ( 闇影詩章 Shadowverse 板),SYSOP,09/17,17:26,309,0
5587,【情報】SCL 2018 夏季季末賽 指定(公佈獎項),marvin53,09/17,01:36,801,2
5588,【情報】SCL 2018 夏季季末賽 無限制(公佈獎金和資格),marvin53,09/17,01:35,726,3
5589,"【心得】看看那對面絕望的表情,砲擊仇給人的天胡壓力(稀有對局分享",cvnddy,09/15,10:48,866,6
5590,首篇已刪,sysop,09/15,09:27,25,11
5591,【問題】求打劇情牌組,j89218778,09/15,06:10,1251,25
5592,本討論串已無文章,KurosakiJun,09/15,04:31,5,0
5593,【心得】《娛樂》冷門牌也想夢想，雙槍伯梅倫上尉陰人瞬殺,DANIEL1997,09/14,21:56,1376,100
5594,本討論串已無文章,jkjkjk,09/14,21:33,1,0
5595,【情報】【宇宙盃】所有牌都只能放一張的比賽！　9/15週六開打 全程有轉播唷!,b24951402,09/14,19:47,1131,3
5596,【討論】｛指定｝牌組分享—最後的野獸,FFps9,09/14,16:26,963,7
5597,【討論】Cygames 成立台灣公司,j89218778,09/14,16:06,2204,11
5598,【問題】甲甲妖回鍋問題,gary20000309,09/14,12:00,628,13
5599,【心得】指定快攻?死靈恩主打1pp的蘿莉虹(放有不少冷門卡),COWVV1,09/14,02:55,1144,8
5600,【問題】蟲妖超難OTK問題.......,zackwang0222,09/14,01:23,1910,45
5601,【其他】【其他】第九彈Brigade of the Sky 蒼空騎翔 追加卡 卡包分享串,ShinnuNise,09/13,04:40,1565,3
5602,【問題】RE:【密技】老司機收女學生&非誠勿擾,bennysit2003,09/12,23:38,1631,39
5603,【問題】現在的天梯積分是不是有問題啊,j89218778,09/12,21:50,762,7
5604,【密技】老司機收女學生&非誠勿擾,bennysit2003,09/12,01:02,2069,34
5605,【討論】關於真理的使徒（2/2/2）加入後，無限制覆滅與超越充能的強弱與相剋。與其他問題,uodam64402,09/12,00:04,1073,13
5606,【情報】【闇影戰情室】EP28 闇影詩章最新戰情分析 全球搶先公開新卡！,ga786327,09/11,19:51,1067,0
5607,運9技1的大賽?菜真的會輸...,alan10283,09/11,07:48,1660,28
5608,本討論串已無文章,cutejay80320,09/11,00:25,25,0
5609,首篇已刪,sysop,09/11,00:15,574,2
5610,更新(GM階層)PiyA文摘《最好的總在恰好的時刻到來──現環境高勝率仇吸構築》,cool850210,09/10,18:46,2073,34
5611,【討論】奇怪的一場對戰(附影片,alex655238,09/10,17:20,820,10
5612,【閒聊】SV出現最多的聲優是誰？,saasa8112,09/10,15:28,2042,28
5613,【問題】克金上限問題,ymwong,09/10,12:40,1650,14
5614,【其他】【招募】精華組組員２名 已滿員,r28588449,09/10,09:33,305,2
5615,【公告】新任精華組長 r28588449 -> ( 闇影詩章 Shadowverse),SYSOP,09/10,08:56,265,0
5616,本討論串已無文章,ab3882,09/10,08:39,33,0
5617,【情報】舉辦大賽「BOS 指定系列盃 Vol.3」公告,jim81069,09/10,07:07,3929,62
5618,【心得】[無限制]自殘吸,xu66,09/10,01:25,1605,21
5619,本討論串已無文章,FLYWIN,09/09,20:42,31,0
5620,本討論串已無文章,ko29961843,09/09,20:07,0,0
5621,【問題】我的亞瑟皇在這次大賽好難受,bdnnyl0211,09/09,19:13,1405,37
5622,【心得】BOS3指定盃優勝~6鍋生物法,Fire999,09/09,09:24,1029,5
5623,【閒聊】老問題抱怨,lifan0615,09/09,00:53,48,0
5624,本討論串已無文章,ufo8802790,09/08,22:18,62,4
5625,【心得】【娛樂】無限制-獅子列奧皇,joe711080,09/08,20:48,416,0
5626,【問題】聖獅轉蛋流測試 請求體檢 ...,joe711080,09/08,20:26,958,9
5627,【心得】【指定】妖精只能鋪場?你確定?讓野獸教教你什麼叫做恐懼吧!(新增影片,alpha991225,09/08,18:00,2953,25
5628,【問題】請問庫庫璐是不是過譽了,LB01600202,09/08,17:24,2516,49
5629,【情報】SCL夏季季末賽八強名單及資訊公布!,marvin53,09/08,17:13,1884,1
5630,【閒聊】這遊戲已放棄我……,Zero02110,09/08,16:59,50,0
5631,首篇已刪,msaxmt,09/08,14:43,252,8
5632,本討論串已無文章,FLYWIN,09/08,13:09,71,0
5633,【攻略】在WLD退環境前再用中立軸衝一波吧！中立獅子皇家,spacezipper,09/08,12:56,842,2
5634,【公告】板務未經請假報備，連續14天未進板，免除其職→jug986532,SYSOP,09/08,12:00,540,0
5635,本討論串已無文章,A37602466,09/08,09:08,25,2
5636,本討論串已無文章,huk123456,09/08,01:37,105,6
5637,本討論串已無文章,s897899878,09/07,19:55,20,0
5638,本討論串已無文章,FLYWIN,09/07,19:11,69,2
5639,【情報】Bandai發行，Shadowverse闇影詩章威化餅食玩卡第二彈,frozenwilly,09/07,18:52,1448,10
5640,【心得】【無限】中立疾馳巫師上M心得,fudgepacker,09/07,11:12,1087,9
5641,【心得】無限制耶菈教-更新牌組/職業應對,s5555432,09/07,10:53,1365,4
5642,【心得】非常質疑,ppkk100,09/07,09:23,4946,91
5643,【問題】連動問題 忘記連動密碼,Kerwin1412,09/06,23:21,2630,4
5644,本討論串已無文章,FLYWIN,09/06,19:37,50,0
5645,【心得】新手上路，一個星期的小心得 (希望可以幫助各新手更快上手),prankmail,09/06,18:00,1062,38
5646,【問題】大奇求健檢及建議，禁忌合了不知道怎麼用,a3303980093,09/06,17:52,955,51
5647,【問題】請問各位有斷線問題嗎?,amaster85296,09/06,11:53,28,0
5648,【閒聊】用生命奮鬥的實況主XD,teddy12114,09/06,05:54,1090,18
5649,【心得】【指定m區】針對目前主流牌組 大賽連續晉級耶夢巨蝠吸 BY ERO,Ero0121,09/05,23:56,1460,15
5650,本討論串已無文章,justin30321,09/05,22:59,0,0
5651,首篇已刪,r28588449,09/05,21:57,924,49
5652,首篇已刪,sysop,09/05,19:20,22,2
5653,本討論串已無文章,FLYWIN,09/05,18:14,81,0
5654,洛可可與薇絲朋,bgsjk9ly,09/05,03:43,1739,4
5655,【問題】剛回鍋，請問大神們有什麼強度不錯抑或是有趣的牌組,s89555721,09/05,00:58,888,41
5656,【問題】有人玩世界樹快妖嗎?,s511203,09/04,10:23,570,14
5657,首篇已刪,sysop,09/03,21:36,101,0
5658,【情報】傳說卡包兌換卷快速提醒!!(更新回信結果),P0980901002,09/03,21:00,10k,144
5659,【密技】【指定】【娛樂】你打不到我嘞~~萬惡的潛伏皇,Sirius0516,09/03,20:50,959,10
5660,【問題】[指定]想組新的死靈的牌組 求建議,sk99890008,09/03,14:28,1043,11
5661,首篇已刪,sysop,09/02,12:45,377,1
5662,【密技】斯巴達亞瑟皇好玩喔,s89555721,09/02,01:08,1184,18
5663,【問題】請問這牌組怎麼玩,brucehieeh,09/02,00:36,1313,1
5664,【心得】無限制 OTK庭院轉蛋龍 一回合3張佐伊超壯觀！,asd7336536as,09/01,01:40,1165,1
